Date / Time,City,State,Shape,Duration,Summary,Posted
10/26/12 0:00,Tanacross,AK,Light,all night,"Seen a triangle light at first, then it moved out ward and it looked like a spider like star. several star light objects flying around",10/30/2012
10/26/12 23:10,Eagle River,AK,Light,2 minutes,"Bright, orange stationary object flickering in night sky; pieces came off object and fell towards ground.",10/30/2012
10/27/12 6:00,Anchorage,AK,Triangle,30 minutes,"Flashing lights, triangular. Star sized, clear night, 2 witnesses.",11/4/2012
10/27/95 20:28,Prince of Wales Island,AK,,2 min.,"Man rpts very large, circular obj passing slowly across N sky from W to E to horizon. Dia. of full moon! Burning material ejected.",11/2/1999
10/3/08 20:00,Kodiak,AK,Light,almost ten whole minutes,"didn't behave like a toy helicopter, hikers or hunters",10/31/2008
10/31/12 20:36,Anchorage,AK,Light,1 minute,White stationary light over the mountains changed to purple then back to white and then back to purple then it fell like a shooting sta,11/4/2012
10/31/13 20:30,Fairbanks,AK,Diamond,3 minutes,UFO seen over civilian side of Birch Hill.,11/11/2013
10/31/98 10:00,Anchorage,AK,Circle,10 seconds,It was gray and did not move or have any light to it.,3/2/2004
10/4/13 20:00,Fairbanks,AK,Circle,10 minutes,Strange orange lights moving unnaturally across the sky.,10/14/2013
10/4/13 21:55,Fairbanks,AK,Fireball,3 minutes,I saw 5 red glowing orbs,10/14/2013
10/4/16 18:15,Fairbanks,AK,,,Husband and wife report unusual launching of U. S. military aircraft. a/c headed north at high speed.,10/11/2016
10/5/13 2:55,Anchorage,AK,Unknown,30 seconds,Weird occurrence over Anchorage,10/14/2013
10/6/07 22:00,Willow,AK,Circle,seconds,"One glow in the dark green orb flying in a northward direction above the treeline, visible for only seconds.",10/8/2007
10/7/16 22:00,Anchor Point,AK,Flash,35 40 minutes,"Unidentified flashing lights hovering 15 degrees above horizon, in west north west direction",10/11/2016
10/8/06 14:02,Anchorage,AK,Disk,1:00,black disc-shaped object rose from behind a mountain then stopped and moved quickly to the south against a heavy wind,10/30/2006
10/8/10 1:30,Anchorage,AK,Triangle,15min,Silent Objects over Anchorage Alaska while northern lights were out.,11/21/2010
11/1/05 0:30,Glennallen,AK,Unknown,3.5 hrs.,((HOAX??)) Aliens and UFOs on Halloween night near HAARP!!!,10/10/2011
11/1/15 0:00,Nome,AK,Unknown,3 minutes,"((HOAX)) Multiple lights appeared, apparently altering our perception of time, and then disappeared.",12/3/2015
11/1/15 1:30,Anchorage,AK,Unknown,3 minutes,"Small reddish light slowly joined a bigger reddish light, the big light didn't move.",11/6/2015
11/1/69 19:30,Fairbanks,AK,Formation,4 minutes,"Sighting of 5 objects in a PENTAGON formation near Fairbanks, Alaska around 1969",7/19/2010
11/10/06 23:15,North Pole,AK,Other,20 seconds,"A tall line of green light from the ground up into the sky, 3"" wide, bright glowing for 20 sec. then narrowing until it was gone.",12/7/2006
11/10/13 19:30,Palmer,AK,Fireball,20 minutes,It's snowing hard our first real snow of the season... I went in the kitchen and happened to glance out the window and I saw these fire,11/11/2013
11/10/57 20:00,"Northeast Cape AFS, St Lawrence Island,",AK,Other,4-5 min,"Observed target on search radar. Ground speed about 25000 kt, altitude at least 30000ft. recorded on scope camera. observed by other ra",1/28/1999
11/10/66 21:00,Kodiak Naval Station,AK,Formation,approx. 6 hrs,I cannot find reports from Elmendorf AFB concerning bogies near the Anchorage area where our radio relay crew working the old White Ali,11/28/2007
11/11/11 20:10,Fairbanks,AK,Circle,5 min.,Red lights moving slowly.,12/12/2011
11/11/16 21:45,Anchorage,AK,Cigar,5 seconds,Bright orange pointed cigar 50 degrees above dithers horizon going full east to west in 5 sec. Appeared to be very low and faster than,12/5/2016
11/14/06 23:25,Anchorage,AK,Light,2 seconds or so,"greenish ball of light moving rapidly in northern direction at exactly 11:25 pm Alaska time Nov. 14, 2006",12/7/2006
11/14/12 21:00,Anchorage,AK,Disk,~5 minutes,"Saucer with bright lights, then spiky halo in colors, over Cook Inlet, Anchorage.",11/19/2012
11/15/15 21:00,Wasilla,AK,Circle,15-20 minutes,About 20 orange orbs following each other across the night sky and then just disappearing into the darkness,11/19/2015
11/15/1986,Ft. Richardson,AK,,,"Ft. Richardson, AK...between nove 86 feb 87 while on duty across cook inlet on field exersice. .. will not reveal anything else until.",2/18/2013
11/15/2012,Wasilla,AK,Other,25 minutes,Body Inhabitated,7/3/2013
11/15/74 9:00,Cordova,AK,Disk,5 HOURS,UFO ALIEN ABDUCTION AND SPACE CRAFT INCOUNTER A DEMENSHONAL SPEED TRAIL WAS LEFT,6/12/2007
11/15/86 14:30,Girdwood,AK,Sphere,2 minutes ?,"25 feet from amber, orange orb [1986] Alaska.",2/4/2013
11/17/87 6:00,Anchorage,AK,Light,3 min,Glowing ball of light,5/11/2005
11/17/97 3:00,Wasilla,AK,Triangle,3 minutes,A huge trianglar object moving in a true north direction.,9/2/2005
11/18/13 21:00,Palmer,AK,Cylinder,20 minutes,"Large orange cylindrical object flying over and near Pioneer Peak Alaska (6,000 ft in elevation)",11/20/2013
11/18/14 20:30,Eagle River,AK,Fireball,2 minutes,Absolutely stationary fireball around 300 feet over the inlet.,11/21/2014
